"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"15";31,177573415374;NA;"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,174479806022408;6;-516,974569496292;1046,59529283874;14,1903281469069;9.10866687299697e-05
"152";24,0413659481715;"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,184854686809788;7;-516,108687416684;1047,08559188763;14,6806271958001;7.1283289596955e-05
"4848";33,3191307176173;"+";"+";"+";"+";NA;"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;0,290776101870955;15;-506,579287886025;1047,12551792081;14,7205532289788;6.98743700366104e-05
"13296";33,7824167151982;"+";"+";"+";"+";NA;"+";"+";"+";"+";"+";NA;NA;"+";"+";NA;0,343244301322474;19;-501,317795735578;1047,13131796688;14,7263532750515;6.96720262964214e-05
"480";31,078069872184;"+";"+";"+";"+";"+";NA;"+";"+";"+";NA;NA;NA;NA;NA;NA;0,264030873317796;13;-509,113416750207;1047,18618309391;14,7812184020795;6.77867216101553e-05
"4736";33,5189967467393;"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;0,289171454984431;15;-506,734001793963;1047,43494573669;15,0299810448562;5.98585936354605e-05
"1792";31,0266047598804;"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;0,288264299711313;15;-506,821311866038;1047,60956588084;15,2046011890052;5.48539904345977e-05
"14336";36,230927089994;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;0,366572440313025;21;-498,842066047796;1047,71891470429;15,3139500124566;5.19353940551755e-05
"12288";36,0480446253318;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;0,366533592599677;21;-498,846264092548;1047,72731079379;15,3223461019616;5.17178239507433e-05
"8";24,2851289472049;"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,152770250944867;5;-518,751778824058;1047,96157291529;15,55660822346;4.60013810386511e-05
"168";23,5950991697417;"+";"+";"+";NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;0,176093482648054;7;-516,840609616398;1048,54943628706;16,1444715952298;3.42860900059291e-05
